MarcaReferencia
DUNU SA6 Ultra (atmospheric immersion mode)
DUNU Talos (BA off)
DUNU Titan S
DUNU Vulkan
DUNU Zen
FiiO FD3 (stock nozzle)
FiiO FD5 (narrow nozzle)
FiiO FD7
FiiO FF1
FiiO FH15 (treble nozzle)
FiiO FH5
FiiO FH5s (off-off-off)
FiiO FH7s (balanced nozzle)
FiiO FT3 (suede earpads)
FiiO FT5 (pleather earpads)
Final Audio E1000 (Final Audio Type E eartips)
Final Audio E3000
Final Audio E500
Final Audio E5000
Final Audio VR3000
Grado RS1e (yellow earpads)
Grado SR225i (reverse bowl earpads)
Grado SR325e
Grado SR60e
HIFIMAN Ananda
HIFIMAN Edition X
HIFIMAN Edition XS
HIFIMAN HE400i (2016)
HIFIMAN HE400se
HIFIMAN HE6
HIFIMAN Sundara (post-2020 earpads)
HIFIMAN Sundara Closed-Back
"JBL Everest Elite 700 (wired, active)"
JBL Tour One M2 (ANC on)
JBL Tune 720BT (wireless)
JBL Tune 770NC (ANC on)
Koss ESP950
Koss ESP95X
Koss KPH30i
Koss KSC75 (Venture Electronics earpads)
Koss Porta Pro (Yaxi earpads)
KZ Castor (on-on-on-on)
KZ D-FI (on-on-on-on)
KZ ZS10
KZ ZS10 Pro
KZ ZVX
Moondrop Aria
Moondrop Aria 2
Moondrop Aria Snow Edition
Moondrop Blessing 3
Moondrop Chu
Moondrop Chu 2
Moondrop Crescent
Moondrop Golden Ages (monitor eq)
Moondrop Joker
Moondrop Kato (silver nozzle)
Moondrop KXXS
Moondrop Para (ZMF Auteur perforated lambskin earpads)
Moondrop Quarks
Moondrop Quarks DSP
Moondrop Space Travel (reference mode)
Moondrop SSR
Moondrop Starfield 2 (tuning mesh 500)
Moondrop Variations
Moondrop Venus
Moondrop Void
Moondrop x Crinacle Blessing2 Dusk
Philips Fidelio X2HR
Philips SHP9500
Razer Opus 2020
Sennheiser CX 400BT
Sennheiser HD 201
Sennheiser HD 280 Pro
Sennheiser HD 4
Sennheiser HD 490 Pro (producing earpads)
Sennheiser HD 518
Sennheiser HD 560S
Sennheiser HD 580 precision
Sennheiser HD 58X
Sennheiser HD 598
Sennheiser HD 600
Sennheiser HD 650
Sennheiser HD 660 S
Sennheiser HD 660S2
Sennheiser HD 6XX
Sennheiser HD 700
Sennheiser HD 800 (sample 1)
Sennheiser HD 800 S
Sennheiser HD 820
Sennheiser IE 200
Sennheiser IE 300 (Final Audio Type E eartips)
Sennheiser IE 40 PRO
Sennheiser IE 600 (Final Audio Type E eartips)
Sennheiser IE 800 (sample C)
Sennheiser IE 900 (Final Audio Type E eartips)
Sennheiser Momentum 2
Sennheiser Momentum 4 Wireless
Sennheiser Momentum True Wireless 2
Sennheiser Momentum True Wireless 3 (ANC off)
"Sennheiser Momentum Wireless (wired, active)"
