MarcaReferencia
Logitech Zone Wired
Moondrop x Crinacle DUSK
Moondrop Blessing
Moondrop Alice (default EQ)
Moondrop Darksaber
Moondrop Illumination
Moondrop KXXX
Moondrop S8
Moondrop Solis 2
Moondrop Solis
Moondrop Sparks
Moondrop Stardust
Moondrop Stellaris
Moondrop Voyager
Philips TAH2005BK00
Philips Fidelio S1 Early 2013
Philips SHE3590
Philips SME3580
Philips TX1
Philips TX2
Philips ActionFit SHQ5200
Philips Cityscape Downtown
Philips Construct
Philips Fidelio L1
Philips Fidelio X1
Philips Fidelio X2
Philips L2
Philips O'Neil Bend
Philips O'Neil Crash
Philips SBC HP910
Philips TAE1105
Philips SHE3855
Philips SHS8000
Philips Fidelio L2
Philips Fidelio M2L
Philips SHP9600
Philips SHE3590PK28
Razer Barracuda X (2022)
Razer Hammerhead Pro HyperSpeed
Razer Hammerhead True Wireless Pro
Razer Hammerhead USB-C ANC
Razer Moray
Razer Barracuda Pro
Razer Barracuda
Razer BlackShark V2 HyperSpeed
Razer BlackShark V2 Pro 2023
Razer BlackShark V2 Pro
Razer BlackShark V2 X
Razer Kaira Pro
Razer Kaira X
Razer Kraken Pro V2
Razer Kraken Tournament Edition
Razer Kraken Ultimate
Razer Kraken USB
Razer Kraken V3 HyperSense
Razer Kraken V3 X
Razer Kraken V3
Razer Kraken X
Razer Man O'War
Razer Nari Ultimate
Razer Opus 2021
Razer Opus X
Sennheiser HD 400 Pro
Sennheiser HD 424-X
Sennheiser HD 545 Reference
Sennheiser OMX 680
Sennheiser PMX 680
Sennheiser CX 300-II
Sennheiser CX 500
Sennheiser CX 680
Sennheiser CX 880
Sennheiser IE 8
Sennheiser MM 50 iP
Sennheiser EH 150
Sennheiser EH 250
Sennheiser EH 350
Sennheiser HD 203
Sennheiser HD 205 II
Sennheiser HD 205
Sennheiser HD 212 PRO
Sennheiser HD 229 Black
Sennheiser HD 25-SP
Sennheiser HD 428
Sennheiser HD 438
Sennheiser HD R 130
Sennheiser MM 550
Sennheiser PMX 100
Sennheiser PX 200 II
Sennheiser PXC 150
Sennheiser PXC 300
Sennheiser PXC 350
Sennheiser PXC 450
Sennheiser RS 130
Sennheiser RS 160
Sennheiser RS 170
Sennheiser RS 180
Sennheiser MX 680
Sennheiser CX 1
Sennheiser IE 6
Sennheiser HD 229
